"","SPECIES","TAXONNAME","COMMONNAME","GENUS","FAMILY","COMMONFAMILYALL","TROPHIC","TROPHIC_MONREP"
"525","BOBI","Bodianus bilunulatus","Tarry hogfish","Bodianus","Labridae","Wrasse","MI","SECONDARY"
"526","PEJA","Pervagor janthinosoma","Blackbar filefish","Pervagor","Monacanthidae","Filefish","Om","SECONDARY"
"527","ECOP","Ecsenius opsifrontalis","Comical blenny","Ecsenius","Blenniidae","Blenny","Pk","PLANKTIVORE"
"528","EPMA","Epinephelus maculatus","Highfin grouper","Epinephelus","Serranidae","Grouper","Pisc","PISCIVORE"
"529","ARST","Arothron stellatus","Starry toadfish","Arothron","Tetraodontidae","Pufferfish","Cor","SECONDARY"
"530","DART","Microdesmidae","UNKNOWN","UNKNOWN","Microdesmidae","Wormfish","Pk","PLANKTIVORE"
"531","DASY","Dasyatidae","Stingray species","UNKNOWN","Dasyatidae","Stingray","MI","SECONDARY"
"532","TAME","Taeniurops meyeni","Blotched fantail ray","Taeniura","Dasyatidae","Stingray","MI","SECONDARY"
"533","NEFE","Nebrius ferrugineus","Tawny nurse shark","Nebrius","Ginglymostomatidae","Nurse","Pisc","PISCIVORE"
"534","SYBI","Synodus binotatus","Two-spot lizard fish","Synodus","Synodontidae","Lizardfishes","Pisc","PISCIVORE"
"535","PSYA","Pseudocoris yamashiroi","Redspot wrasse","Pseudocoris","Labridae","Wrasse","Pk","PLANKTIVORE"
"536","CHFL","Chaetodon flavocoronatus","Yellow-crowned butterflyfish","Chaetodon","Chaetodontidae","Butterflyfish","Cor","SECONDARY"
"537","OSNO","Ostorhinchus novemfasciatus","Sevenstriped cardinalfish","Apogon","Apogonidae","Cardinalfish","Pk","PLANKTIVORE"
"538","PAMT","Paracentropyge multifasciata","Barred angelfish","Centropyge","Pomacanthidae","Angelfish","MI","SECONDARY"
"539","BIGE","Priacanthus sp","UNKNOWN","Priacanthus","Priacanthidae","Bigeye","Pk","PLANKTIVORE"
"540","GEWA","Genicanthus watanabei","Blackedged angelfish","Genicanthus","Pomacanthidae","Angelfish","Pk","PLANKTIVORE"
"541","HOAN","Hologymnosus annulatus","Ring wrasse","Hologymnosus","Labridae","Wrasse","MI","SECONDARY"
"542","OSAP","Ostorhinchus apogonoides","Short-tooth cardinal","Apogon","Apogonidae","Cardinalfish","Pk","PLANKTIVORE"
"543","CODO","Coris dorsomacula","Palebarred coris","Coris","Labridae","Wrasse","MI","SECONDARY"
"544","CHAR","Cheilodipterus artus","Wolf cardinalfish","Cheilodipterus","Apogonidae","Cardinalfish","MI","SECONDARY"
"545","CALN","Caesio lunaris","Lunar fusilier","Caesio","Caesionidae","Fusilier","Pk","PLANKTIVORE"
"546","AMFA","Amblyeleotris fasciata","Red-banded/Barred shrimpgoby","Amblyeleotris","Gobiidae","Goby","Pk","PLANKTIVORE"
"547","GRSE","Grammistes sexlineatus","Sixline soapfish","Grammistes","Serranidae","Grouper","MI","SECONDARY"
"548","CHAL","Chromis alpha","Yellow-speckled chromis","Chromis","Pomacentridae","Damselfish","Pk","PLANKTIVORE"
"549","BLCH","Blenniella chrysospilos","Red-spotted blenny","Blenniella","Blenniidae","Blenny","Pk","PLANKTIVORE"
"550","GRBI","Grammatorcynus bilineatus","Double-lined mackerel","Grammatorcynus","Scombridae","Mackerel","Pisc","PISCIVORE"
"551","PLLE","Plectroglyphidodon leucozonus","Singlebar devil","Plectroglyphidodon","Pomacentridae","Damselfish","H","PRIMARY"
"552","SCFU","Scarus fuscocaudalis","Darktail parrotfish","Scarus","Scaridae","Parrotfish","H","PRIMARY"
"553","CLSP","Chlorurus sp","UNKNOWN","Chlorurus","Scaridae","Parrotfish","H","PRIMARY"
"554","SISI","Siganus spinus","Little spinefoot","Siganus","Siganidae","Rabbitfish","H","PRIMARY"
"555","CAEP","Canthigaster epilampra","Lantern toby","Canthigaster","Tetraodontidae","Pufferfish","H","PRIMARY"
"556","EVSP","Eviota sp","UNKNOWN","Eviota","Gobiidae","Goby","MI","SECONDARY"
"557","PRFR","Pristiapogon fraenatus","Bridled cardinalfish","Apogon","Apogonidae","Cardinalfish","Pk","PLANKTIVORE"
"558","AMCU","Amblyglyphidodon curacao","Staghorn damselfish","Amblyglyphidodon","Pomacentridae","Damselfish","Om","SECONDARY"
"559","PERV","Pervagor sp","UNKNOWN","Pervagor","Monacanthidae","Filefish","Om","SECONDARY"
"560","HOST","Hoplolatilus starcki","Bluehead tilefish","Hoplolatilus","Malacanthidae","Tilefish","MI","SECONDARY"
"561","CASP","Caranx sp","UNKNOWN","Caranx","Carangidae","Jack","Pisc","PISCIVORE"
"562","BECH","Belonoperca chabanaudi","Arrowhead soapfish","Belonoperca","Serranidae","Grouper","MI","SECONDARY"
"563","AMBI","Amblycirrhitus bimacula","Twospot hawkfish","Amblycirrhitus","Cirrhitidae","Hawkfish","MI","SECONDARY"
"564","SYVA","Synodus variegatus","Variegated lizardfish","Synodus","Synodontidae","Lizardfishes","Pisc","PISCIVORE"
"565","PTEN","Pteragogus enneacanthus","Cockerel wrasse","Pteragogus","Labridae","Wrasse","MI","SECONDARY"
"566","PAPR","Paraluteres prionurus","Blacksaddle filefish","Paraluteres","Monacanthidae","Filefish","MI","SECONDARY"
"567","CAPP","Caranx papuensis","Brassy trevally","Caranx","Carangidae","Jack","Pisc","PISCIVORE"
"568","SIPN","Siganus punctatus","Goldspotted spinefoot","Siganus","Siganidae","Rabbitfish","H","PRIMARY"
"569","KYHA","Kyphosus hawaiiensis","Hawaiian chub","Kyphosus","Kyphosidae","Chub","H","PRIMARY"
"570","KYSA","Kyphosus sandwicensis","Pacific chub","Kyphosus","Kyphosidae","Chub","H","PRIMARY"
"571","THDQ","Thalassoma duperrey/quinquevittatum hybrid","Saddle/Fivestripe hybrid","Thalassoma","Labridae","Wrasse","MI","SECONDARY"
"572","MOSP","Mobula sp.","Manta","Mobula","Myliobatidae","Manta","Pk","PLANKTIVORE"
"573","SYUL","Synodus ulae","Red lizard fish","Synodus","Synodontidae","Lizardfishes","Pisc","PISCIVORE"
"574","SYDE","Synodus dermatogenys","Sand lizardfish","Synodus","Synodontidae","Lizardfishes","Pisc","PISCIVORE"
"575","MYCH","Myripristis chryseres","Yellowfin soldierfish","Myripristis","Holocentridae","Soldierfish","Pk","PLANKTIVORE"
"576","NEAU","Neoniphon aurolineatus","Yellowstriped squirrelfish","Neoniphon","Holocentridae","Soldierfish","MI","SECONDARY"
"577","NAMA","Naso maculatus","Spotted unicornfish","Naso","Acanthuridae","Surgeonfish","Pk","PLANKTIVORE"
"578","OPFA","Oplegnathus fasciatus","Barred knifejaw","Oplegnathus","Oplegnathidae","Knifejaw","MI","SECONDARY"
"579","SAEN","Sargocentron ensifer","Yellow-stripedsquirrelfish","Sargocentron","Holocentridae","Soldierfish","MI","SECONDARY"
"580","GYEU","Gymnothorax eurostus","Abbott's moray eel","Gymnothorax","Muraenidae","Moray","MI","SECONDARY"
"581","BRMU","Brotula multibarbata","Goatsbeard brotula","Brotula","Ophidiidae","Cusk Eel","MI","SECONDARY"
"582","SCCA","Scorpaenopsis cacopsis","Titan scorpionfish","Scorpaenopsis","Scorpaenidae","Scorpionfish","Pisc","PISCIVORE"
"583","FUDU","Fusigobius duospilus","Barenape goby","Fusigobius","Gobiidae","Goby","MI","SECONDARY"
"584","MORA","Muraenidae","UNKNOWN","UNKNOWN","Muraenidae","Moray","Pisc","PISCIVORE"
"585","EUAF","Euthynnus affinis","Kawakawa","Euthynnus","Scombridae","Tuna","Pisc","PISCIVORE"
"586","DEBA","Dendrochirus barberi","Hawaiian lionfish","Dendrochirus","Scorpaenidae","Scorpionfish","MI","SECONDARY"
"587","PSAU","Pseudocoris aurantiofasciata","Rust-bandedwrasse","Pseudocoris","Labridae","Wrasse","MI","SECONDARY"
"588","POPH","Pomacentrus philippinus","Philippine damsel","Pomacentrus","Pomacentridae","Damselfish","Pk","PLANKTIVORE"
"589","EMPE","Lethrinidae","UNKNOWN","UNKNOWN","Lethrinidae","Emperor","MI","SECONDARY"
"590","CIST","Cirripectes stigmaticus","Red-streaked blenny","Cirripectes","Blenniidae","Blenny","H","PRIMARY"
"591","PACR","Parupeneus crassilabris","Doublebar goatfish","Parupeneus","Mullidae","Goatfish","MI","SECONDARY"
"592","CHCY","Chrysiptera cyanea","Sapphire devil","Chrysiptera","Pomacentridae","Damselfish","Pk","PLANKTIVORE"
"593","VAAL","Variola albimarginata","White-edged lyretail","Variola","Serranidae","Grouper","Pisc","PISCIVORE"
"594","UPTA","Upeneus taeniopterus","Finstripe goatfish","Upeneus","Mullidae","Goatfish","MI","SECONDARY"
"595","ARMA","Arothron mappa","Map puffer","Arothron","Tetraodontidae","Pufferfish","Om","SECONDARY"
"596","CHJO","Choerodon jordani","Blackwedge tuskfish","Choerodon","Labridae","Wrasse","Om","SECONDARY"
"597","HYAC","Hyporhamphus acutus acutus","Pacific halfbeak","Hyporhamphus","Hemiramphidae","Halfbeak","Pk","PLANKTIVORE"
"598","STLI","Stegastes lividus","Blunt snout gregory","Stegastes","Pomacentridae","Damselfish","H","PRIMARY"
"599","PLGI","Plectorhinchus gibbosus","Harry hotlips","Plectorhinchus","Haemulidae","Grunt","MI","SECONDARY"
"600","SPLE","Sphyrna lewini","Scalloped hammerhead","Sphyrna","Sphyrnidae","Hammerhead","Pisc","PISCIVORE"
"601","THAL","Thunnus albacares","Yellowfin tuna","Thunnus","Scombridae","Tuna","Pisc","PISCIVORE"
"602","ACAN","Acanthurus achillesXnigricans hybrid= rackliffei","UNKNOWN","Acanthurus","Acanthuridae","Surgeonfish","H","PRIMARY"
"603","SECY","Sebastapistes cyanostigma","Yellowspotted scorpionfish","Sebastapistes","Scorpaenidae","Scorpionfish","MI","SECONDARY"
"604","GRTU","Chelonia mydas","Green turtle","Chelonia","Cheloniidae","Turtle","H","PRIMARY"
"605","OSMA","Ostorhinchus maculiferus","Spotted cardinalfish","Apogon","Apogonidae","Cardinalfish","Pk","PLANKTIVORE"
"606","TURT","Chelonia sp","UNKNOWN","Chelonia","Cheloniidae","Turtle","X","UNKNOWN"
"607","CHLC","Chromis leucura","Whitetail chromis","Chromis","Pomacentridae","Damselfish","Pk","PLANKTIVORE"
"608","LAFO","Lactoria fornasini","Thornback cowfish","Lactoria","Ostraciidae","Boxfish","SI","SECONDARY"
"609","GYMT","Gymnothorax melatremus","Dwarf moray","Gymnothorax","Muraenidae","Moray","MI","SECONDARY"
"610","PSSP","Pseudojuloides sp","UNKNOWN","Pseudojuloides","Labridae","Wrasse","MI","SECONDARY"
"611","CARI","Canthigaster rivulata","Brown-lined puffer","Canthigaster","Tetraodontidae","Pufferfish","H","PRIMARY"
"612","CHTI","Chaetodon tinkeri","Hawaiian butterflyfish","Chaetodon","Chaetodontidae","Butterflyfish","SI","SECONDARY"
"613","SAFL","Saurida flamma","Orangemouth lizardfish","Saurida","Synodontidae","Lizardfishes","Pisc","PISCIVORE"
"614","GYST","Gymnothorax steindachneri","Steindachner's moray eel","Gymnothorax","Muraenidae","Moray","Pisc","PISCIVORE"
"615","SAOR","Sarda orientalis","Striped bonito","UNKNOWN","Scombridae","Tuna","Pisc","PISCIVORE"
"616","CONG","Congridae","Conger eel species","UNKNOWN","Congridae","Conger or Garden Eel","Pisc","PISCIVORE"
"617","BOMU","Bolbometopon muricatum","Green humphead parrotfish","Bolbometopon","Scaridae","Parrotfish","Cor","SECONDARY"
"618","PSOT","Pseudocheilinus ocellatus","Whitebarred wrasse","Pseudocheilinus","Labridae","Wrasse","MI","SECONDARY"
"619","PLTE","Platax teira","Tiera batfish","Platax","Ephippidae","Spadefish","Om","SECONDARY"
"620","PTCR","Pteragogus cryptus","Cryptic wrasse","Pteragogus","Labridae","Wrasse","MI","SECONDARY"
"621","JACK","Carangidae","UNKNOWN","UNKNOWN","Carangidae","Jack","Pisc","PISCIVORE"
"622","RABB","Siganidae","UNKNOWN","UNKNOWN","Siganidae","Rabbitfish","H","PRIMARY"
"623","TUNA","Scombridae","Tuna species","UNKNOWN","Scombridae","Tuna","Pisc","PISCIVORE"
"624","PSFU","Pseudobalistes fuscus","Yellow-spotted triggerfish","Pseudobalistes","Balistidae","Triggerfish","MI","SECONDARY"
"625","AMGU","Amblyeleotris guttata","Spotted prawn-goby","Amblyeleotris","Gobiidae","Goby","Pk","PLANKTIVORE"
"626","GARD","Heterocongrinae","Garden eel species","UNKNOWN","Congridae","Conger or Garden Eel","Pisc","PISCIVORE"
"627","ACSO","Acanthocybium solandri","Wahoo","Acanthocybium","Scombridae","Mackerel","Pisc","PISCIVORE"
"628","PEME","Pervagor melanocephalus","Redtail filefish","Pervagor","Monacanthidae","Filefish","Om","SECONDARY"
"629","PSDE","Pseudocaranx dentex","White trevally","Pseudocaranx","Carangidae","Jack","Pisc","PISCIVORE"
"630","HYQU","Hyporthodus quernus","Hawaiian grouper","Epinephelus","Serranidae","Grouper","Pisc","PISCIVORE"
"631","MYMA","Myrichthys magnificus","Magnificent snake eel","Myrichthys","Ophichthidae","Worm or Snake Eel","MI","SECONDARY"
"632","MACO","Macolor sp","UNKNOWN","Macolor","Lutjanidae","Snapper","Pk","PLANKTIVORE"
"633","PLAB","Plectorhinchus albovittatus","Two-striped sweetlips","Plectorhinchus","Haemulidae","Grunt","MI","SECONDARY"
"634","CEFV","Centropyge flavissima x vroliki hybrid","UNKNOWN","Centropyge","Pomacanthidae","Angelfish","H","PRIMARY"
"635","SISP","Siphamia sp","UNKNOWN","Siphamia","Apogonidae","Cardinalfish","Pk","PLANKTIVORE"
"636","SWEE","Pempheridae","UNKNOWN","UNKNOWN","Pempheridae","Sweeper","Pk","PLANKTIVORE"
"637","ENCA","Enchelynassa canina","Viper moray","Enchelynassa","Muraenidae","Moray","Pisc","PISCIVORE"
"638","GYRU","Gymnothorax rueppelliae","Banded moray","Gymnothorax","Muraenidae","Moray","MI","SECONDARY"
"639","SCTI","Scuticaria tigrina","Tiger reef-eel","Scuticaria","Muraenidae","Moray","Pisc","PISCIVORE"
"640","TATR","Taenianotus triacanthus","Leaf scorpionfish","Taenianotus","Scorpaenidae","Scorpionfish","Pisc","PISCIVORE"
"641","MONK","Monachus schauinslandi","Monk seal","Monachus","Phocidae","Monk Seal","X","UNKNOWN"
"642","SEBA","Sebastapistes ballieui","Spotfin scorpionfish","Sebastapistes","Scorpaenidae","Scorpionfish","MI","SECONDARY"
"643","BALA","Bathytoshia lata","Broad stingray","Dasyatis","Dasyatidae","Stingray","MI","SECONDARY"
"644","ECNA","Echeneis naucrates","Live sharksucker","Echeneis","Echeneidae","Remora","Pk","PLANKTIVORE"
"645","SOLD","Holocentridae","UNKNOWN","UNKNOWN","Holocentridae","Soldierfish","MI","SECONDARY"
"646","HAWK","Cirrhitidae","UNKNOWN","UNKNOWN","Cirrhitidae","Hawkfish","MI","SECONDARY"
"647","HEAC","Heniochus acuminatus","Pennant coralfish","Heniochus","Chaetodontidae","Butterflyfish","Pk","PLANKTIVORE"
"648","HACH","Halichoeres chrysus","Canary wrasse","Halichoeres","Labridae","Wrasse","MI","SECONDARY"
"649","HAML","Halichoeres melanurus","Tail-spot wrasse","Halichoeres","Labridae","Wrasse","MI","SECONDARY"
"650","PTTR","Pterocaesio trilineata","Three-stripe fusilier","Pterocaesio","Caesionidae","Fusilier","Pk","PLANKTIVORE"
"651","LEER","Lethrinus erythracanthus","Orange-spotted emperor","Lethrinus","Lethrinidae","Emperor","MI","SECONDARY"
"652","EPLA","Epinephelus lanceolatus","Giant grouper","Epinephelus","Serranidae","Grouper","Pisc","PISCIVORE"
"653","PAFA","Pateobatis fai","Pink whipray","Himantura","Dasyatidae","Stingray","MI","SECONDARY"
"654","OSLU","Ostorhinchus luteus","Yellow cardinalfish","Apogon","Apogonidae","Cardinalfish","Pk","PLANKTIVORE"
"655","CISR","Cirripectes springeri","Springer's blenny","Cirripectes","Blenniidae","Blenny","H","PRIMARY"
"656","SESP","Sebastapistes sp","UNKNOWN","Sebastapistes","Scorpaenidae","Scorpionfish","Pisc","PISCIVORE"
"657","MANE","Macropharyngodon negrosensis","Yellowspotted wrasse","Macropharyngodon","Labridae","Wrasse","MI","SECONDARY"
"658","LEAM","Lethrinus amboinensis","Ambon emperor","Lethrinus","Lethrinidae","Emperor","MI","SECONDARY"
"659","DOTT","Pseudochromis sp","UNKNOWN","Pseudochromis","Pseudochromidae","Dottyback","MI","SECONDARY"
"660","NATH","Naso thynnoides","Oneknife unicornfish","Naso","Acanthuridae","Surgeonfish","H","PRIMARY"
"661","NALO","Naso lopezi","Elongate unicornfish","Naso","Acanthuridae","Surgeonfish","Pk","PLANKTIVORE"
"662","ALCI","Alectis ciliaris","African pompano","Alectis","Carangidae","Jack","Pisc","PISCIVORE"
"663","SEOX","Sectator ocyurus","Bluestriped chub","Sectator","Kyphosidae","Chub","H","PRIMARY"
"664","TRBL","Trachinotus blochii","Snubnose pompano","Trachinotus","Carangidae","Jack","MI","SECONDARY"
"665","EPSO","Epinephelus socialis","Surge grouper","Epinephelus","Serranidae","Grouper","Pisc","PISCIVORE"
"666","PRHA","Priacanthus hamrur","Moontail bullseye","Priacanthus","Priacanthidae","Bigeye","Pk","PLANKTIVORE"
"667","BOSA","Bodianus sanguineus","Neon hogfish","UNKNOWN","Labridae","Wrasse","Om","SECONDARY"
"668","PONR","Pomacentrus nigriradiatus","Blackray damselfish","Pomacentrus","Pomacentridae","Damselfish","Pk","PLANKTIVORE"
"669","GYMI","Gymnocranius microdon","Blue-spotted Large-eye Bream","UNKNOWN","Lethrinidae  ","Emperor","MI","SECONDARY"
"670","PIPO","Pictichromis porphyreus","Magenta dottyback","Pictichromis","Pseudochromidae","Dottyback","MI","SECONDARY"
"671","WENI","Wetmorella nigropinnata","Sharpnose wrasse","Wetmorella","Labridae","Wrasse","MI","SECONDARY"
"672","DOLP","Delphinidae","Dolphin","UNKNOWN","Delphinidae","Dolphin","X","UNKNOWN"
"673","ABNO","Abudefduf notatus","Yellowtail sergeant","UNKNOWN","Pomacentridae","Damselfish","Pk","PLANKTIVORE"
"674","SAGR","Saurida gracilis","Gracile lizardfish","Saurida","Synodontidae","Lizardfishes","Pisc","PISCIVORE"
"675","KAPE","Katsuwonus pelamis","Skipjack tuna","Katsuwonus","Scombridae","Tuna","Pisc","PISCIVORE"
"676","ATIN","Atherinomorus insularum","Hawaiian Islandssilverside","Atherinomorus","Atherinidae","Silverside","Pk","PLANKTIVORE"
"677","EVAC","Evistias acutirostris","Striped boarfish","Evistias","Pentacerotidae","Armorhead","MI","SECONDARY"
"678","ISPL","Istiophorus platypterus","Indo-Pacific sailfish","UNKNOWN","Istiophoridae","Sailfish","Pisc","PISCIVORE"
"679","THJA","Thalassoma jansenii","Jansen's wrasses","UNKNOWN","Labridae","Wrasse","MI","SECONDARY"
"680","HKTU","Eretmochelys imbricata","Hawk bill turtle","Eretmochelys","Cheloniidae","Turtle","X","UNKNOWN"
"681","LUAR","Lutjanus argentimaculatus","Mangrove red snapper","UNKNOWN","Lutjanidae","Snapper","MI","SECONDARY"
"682","URGR","Urogymnus granulatus","Whitetail stingray","UNKNOWN","Dasyatidae","Stingray","MI","SECONDARY"
"683","SCCO","Scomberomorus commerson","Narrow-barred Spanish mackerel","Scomberomorus","Scombridae","Mackerel","Pisc","PISCIVORE"
"684","URAS","Urogymnus asperrimus","Porcupine ray","Urogymnus","Dasyatidae","Stingray","MI","SECONDARY"
"685","HAHA","Halichoeres hartzfeldii","Goldstripe wrasse","UNKNOWN","Labridae","Wrasse","MI","SECONDARY"
"686","FUSI","Caesionidae","UNKNOWN","UNKNOWN","Caesionidae","Fusilier","Pk","PLANKTIVORE"
"687","LAMI","Labropsis micronesica","Micronesian wrasse","Labropsis","Labridae","Wrasse","MI","SECONDARY"
"688","GACU","Galeocerdo cuvier","Tiger shark","Galeocerdo","Carcharhinidae","Requiem","Pisc","PISCIVORE"
"689","GETA","Genicanthus takeuchii","Swallowtail angelfish","UNKNOWN","Pomacanthidae","Angelfish","Pk","SECONDARY"
"690","POSE","Polydactylus sexfilis","Sixfinger threadfin","Polydactylus","Polynemidae","Threadfin","MI","SECONDARY"
"691","CALI","Carcharhinus limbatus","Blacktip Shark","UNKNOWN","Carcharhinidae","Requiem","Pisc","PISCIVORE"
"692","DRAG","Callionymidae","UNKNOWN","UNKNOWN","Callionymidae","Dragonet","MI","SECONDARY"
"693","PTLA","Pterocaesio lativittata","Wide-band fusilier","Pterocaesio","Caesionidae","Fusilier","Pk","PLANKTIVORE"
"694","CEML","Centropyge multicolor","Multicolor angelfish","Centropyge","Pomacanthidae","Angelfish","H","PRIMARY"
"695","PASE","Pastinachus sephen","Cowtail stingray","Pastinachus","Dasyatidae","Stingray","MI","SECONDARY"
"696","LEEY","Lethrinus erythropterus","Longfin emperor","Lethrinus","Lethrinidae","Emperor","MI","SECONDARY"
"697","GNSP","Gnathanodon speciosus","Golden trevally","Gnathanodon","Carangidae","Jack","Pisc","PISCIVORE"
"698","PSJA","Pseudochromis jamesi","Spot-tailed dottyback","Pseudochromis","Pseudochromidae","Dottyback","MI","SECONDARY"
"699","ISSP","Istigobius sp","UNKNOWN","Istigobius","Gobiidae","Goby","Pk","PLANKTIVORE"
"700","CITE","Cirrhilabrus temminckii","Threadfin wrasse","Cirrhilabrus","Labridae","Wrasse","MI","SECONDARY"
"701","CAMA","Canthidermis maculata","Spotted oceanic triggerfish","Canthidermis","Balistidae","Triggerfish","Pk","PLANKTIVORE"
"702","CYPR","Cymolutes praetextatus","Knifefish","Cymolutes","Labridae","Wrasse","MI","SECONDARY"
"703","CAAL","Carcharhinus albimarginatus","Silvertip shark","Carcharhinus","Carcharhinidae","Requiem","Pisc","PISCIVORE"
"704","SCCL","Scarus chameleon","Chameleon parrotfish","UNKNOWN","Scaridae","Parrotfish","H","PRIMARY"
"705","MOSE","Moolgarda seheli","Bluespot mullet","Moolgarda","Mugilidae","Mullet","Pk","PLANKTIVORE"
"706","HALF","Hemiramphidae","UNKNOWN","UNKNOWN","Hemiramphidae","Halfbeak","Pk","PLANKTIVORE"
"707","TORA","Torquigener randalli","Randall's pufferfish","UNKNOWN","Tetraodontidae","Pufferfish","MI","UNKNOWN"
"708","PSAR","Psenes arafurensis","Dusky driftfish","UNKNOWN","Nomeidae","Driftfishes","Pk","PLANKTIVORE"
"709","MABI","Manta birostris","Giant manta","Manta","Myliobatidae","Manta Ray","Pk","PLANKTIVORE"
"710","DOEX","Doryrhamphus excisus excisus","Bluestripe pipefish","Doryrhamphus","Syngnathidae","Pipefishes and seahorses","Pk","PLANKTIVORE"
"711","SAPU","Sargocentron punctatissimum","Speckled squirrelfish","Sargocentron","Holocentridae","Soldierfish","MI","SECONDARY"
"712","APKA","Apogon kallopterus","Iridescent cardinalfish","Apogon","Apogonidae","Cardinalfish","Pk","PLANKTIVORE"
"713","SHAR","Carcharhinidae","UNKNOWN","UNKNOWN","Carcharhinidae","Requiem","Pisc","PISCIVORE"
